"Cluster","Total_Crime","Acquisitive_Share","High_Harm_Share","Public_Order_ASB_Share","Other_Crime_Share","Latitude","Longitude","Number_of_LSOAs","Cluster_Label"
1,105.196648690293,0.320448997541899,0.302589885601294,0.262634683982091,0.114326432874715,51.5160719402515,-0.122565447751134,5192,"Central high-volume hotspots"
2,3.4,0.0189840776916396,0.0922694341492187,0.00337871864451889,0.885367769514623,51.8350843029509,-0.585174247632951,200,"Cluster 2"
3,8.77404921700224,0.953171182781743,0.0371817862814506,0.00599121644263033,0.00365581449417602,52.045281350463,-0.805987712987253,447,"Acquisitive-dominant areas"
4,1.2725844461901,0.0019202234441826,0.994281100761855,0.00149253731343284,0.00230613848052968,52.0428486978058,-0.775112453466066,1273,"Lower-volume outer areas"

